Name,Rank,State,Growth From 2000 to 2013,Population,Lat,Long,Location_Type
Weston,497,Florida,34.5,68388,26.1003654,-80.3997748,Vendor
Troy,387,Michigan,2.2,82821,42.6064095,-83.1497751,Vendor
Rancho Palos Verdes,867,California,2.9,42448,33.7444613,-118.3870173,Vendor
East Lansing,772,Michigan,4.2,48554,42.7369792,-84.4838654,Vendor
Calexico,940,California,44,39389,32.6789476,-115.4988834,Vendor
Burnsville,572,Minnesota,1.9,61434,44.7677424,-93.2777226,Vendor
Rosemead,672,California,1.7,54561,34.0805651,-118.072846,Vendor
Shelton,892,Connecticut,7.3,40999,41.3164856,-73.0931641,Vendor
Shakopee,948,Minnesota,85.7,39167,44.7973962,-93.5272861,Vendor
Redmond,627,Washington,26,57530,47.6739881,-122.121512,Vendor
Poway,755,California,2.4,49417,32.9628232,-117.0358646,Vendor
Cedar Falls,909,Iowa,12,40566,42.5348993,-92.4453161,Vendor
Calumet City,989,Illinois,-4.5,37240,41.6155909,-87.5294871,Vendor
Keizer,997,Oregon,14.4,37064,44.9901194,-123.0262077,Vendor
Marysville,552,Washington,115.7,63269,48.0517637,-122.1770818,Vendor
Southaven,724,Mississippi,72.8,50997,34.9889818,-90.0125913,Vendor
Brentwood,663,California,122.3,55000,37.931868,-121.6957863,Vendor
Redlands,486,California,9.4,69999,34.0555693,-117.1825381,Vendor
New Rochelle,407,New York,9.9,79446,40.9114882,-73.7823549,Vendor
Perris,466,California,98.7,72326,33.7825194,-117.2286478,Vendor
Davis,521,California,11.9,66205,38.5449065,-121.7405167,Vendor
Chino,402,California,15.6,80988,34.0122346,-117.688944,Vendor
Duluth,365,Minnesota,-0.1,86128,46.7866719,-92.1004852,Vendor
West Covina,261,California,2.3,107740,34.0686208,-117.9389526,Vendor
Oklahoma City,27,Oklahoma,20.2,610613,35.4675602,-97.5164276,Vendor
Stockton,64,California,21.8,298118,37.9577016,-121.2907796,Vendor
Santa Ana,57,California,-1.2,334227,33.7455731,-117.8678338,Vendor
Jacksonville,13,Florida,14.3,842583,30.3321838,-81.655651,Vendor
Springfield,230,Illinois,4.2,117006,39.7817213,-89.6501481,Vendor
Ontario,144,California,5.5,167500,34.0633443,-117.6508876,Vendor
Vallejo,223,California,1.2,118837,38.1040864,-122.2566367,Vendor
Cleveland,48,Ohio,-18.1,390113,41.49932,-81.6943605,Vendor
Atlantic City,933,New Jersey,-2.2,39551,39.3642834,-74.4229266,Vendor
Germantown,942,Tennessee,4.1,39375,35.0867577,-89.8100858,Vendor
Pinellas Park,744,Florida,5.9,49998,27.8428025,-82.6995443,Vendor
Campbell,908,California,4.2,40584,37.2871651,-121.9499568,Vendor
La Mirada,761,California,4.6,49133,33.9172357,-118.0120086,Vendor
Hanover Park,961,Illinois,0.6,38510,41.9994722,-88.1450735,Vendor
Bonita Springs,787,Florida,43.8,47547,26.339806,-81.7786972,Vendor
Oro Valley,883,Arizona,27,41627,32.3909071,-110.966488,Vendor
Bozeman,925,Montana,41.9,39860,45.6769979,-111.0429339,Vendor
Smyrna,855,Tennessee,54.9,43060,35.9828412,-86.5186045,Vendor
Spartanburg,978,South Carolina,-6.2,37647,34.9495672,-81.9320482,Vendor
Hattiesburg,785,Mississippi,3.1,47556,31.3271189,-89.2903392,Vendor
Gaithersburg,526,Maryland,24.2,65690,39.1434406,-77.2013705,Vendor
Maple Grove,531,Minnesota,27.3,65415,45.0724642,-93.4557877,Vendor
White Plains,625,New York,8.5,57866,41.0339862,-73.7629097,Vendor
Schaumburg,445,Illinois,-0.5,74907,42.0333607,-88.0834059,Vendor
Kirkland,373,Washington,87.5,84430,47.6814875,-122.2087353,Vendor
Scranton,438,Pennsylvania,0,75806,41.408969,-75.6624122,Vendor
Royal Oak,610,Michigan,-1.7,58946,42.4894801,-83.1446485,Vendor
Idaho Falls,620,Idaho,14,58292,43.4916514,-112.0339645,Vendor
Missoula,491,Montana,19.7,69122,46.8787176,-113.996586,Vendor
Rowlett,623,Texas,28.6,58043,32.9029017,-96.56388,Vendor
Fountain Valley,640,California,3,56707,33.7091847,-117.9536697,Vendor
North Miami Beach,850,Florida,3.6,43250,25.9331488,-80.1625463,Vendor
Huber Heights,967,Ohio,-0.2,38142,39.843947,-84.1246608,Vendor
Nashua,358,New Hampshire,0.4,87137,42.7653662,-71.467566,Vendor
Bellevue,190,Washington,19.1,133992,47.610377,-122.2006786,Vendor
Clovis,296,California,42.6,99769,36.8252277,-119.7029194,Vendor
Vista,306,California,7.7,96929,33.2000368,-117.2425355,Vendor
Kansas City,168,Kansas,1.1,148483,39.114053,-94.6274636,Vendor
Yonkers,115,New York,1.8,199766,40.9312099,-73.8987469,Vendor
Norman,225,Oklahoma,22,118197,35.2225668,-97.4394777,Vendor
Pearland,292,Texas,117.2,100065,29.5635666,-95.2860474,Vendor
Warren,189,Michigan,-2.3,134873,42.5144566,-83.0146526,Vendor
Macon,343,Georgia,-7.3,89981,32.8406946,-83.6324022,Vendor
Moreno Valley,112,California,40.4,201175,33.9424658,-117.2296717,Vendor
Cambridge,264,Massachusetts,5.5,107289,42.3736158,-71.1097335,Vendor
New Brunswick,652,New Jersey,15.5,55831,40.4862157,-74.4518188,Vendor
Roseville,206,California,56.2,127035,38.7521235,-121.2880059,Vendor
Perth Amboy,709,New Jersey,9.7,51982,40.5067723,-74.2654234,Vendor
Minnetonka,720,Minnesota,0.4,51368,44.9211836,-93.4687489,Vendor
Arcadia,626,California,8.3,57639,34.1397292,-118.0353449,Vendor
Roswell,769,New Mexico,7.5,48611,33.3942655,-104.5230242,Vendor
Kettering,651,Ohio,-3.1,55870,39.6895036,-84.1688274,Vendor
Draper,821,Utah,77.4,45285,40.5246711,-111.8638226,Vendor
Worcester,129,Massachusetts,5.8,182544,42.2625932,-71.8022934,Vendor
Columbia,192,South Carolina,11.7,133358,34.0007104,-81.0348144,Vendor
Montgomery,111,Alabama,-0.1,201332,32.3668052,-86.2999689,Vendor
Norfolk,81,Virginia,5,246139,36.8507689,-76.2858726,Vendor
Cincinnati,65,Ohio,-10.1,297517,39.1031182,-84.5120196,Vendor
Gilbert,92,Arizona,96,229972,33.3528264,-111.789027,Vendor
Eugene,155,Oregon,14.4,159190,44.0520691,-123.0867536,Vendor
Mesa,38,Arizona,13.5,457587,33.4151843,-111.8314724,Vendor
Akron,116,Ohio,-8.6,198100,41.0814447,-81.5190053,Vendor
Charlottesville,831,Virginia,10.5,44349,38.0293059,-78.4766781,Vendor
Peabody,708,Massachusetts,7.5,52044,42.5278731,-70.9286609,Vendor
Collierville,790,Tennessee,43.4,47333,35.042036,-89.6645266,Vendor
Grand Island,731,Nebraska,16,50550,40.9263957,-98.3420118,Vendor
Castle Rock,692,Colorado,153.5,53063,39.3722121,-104.8560902,Vendor
Altoona,812,Pennsylvania,-7.3,45796,40.5186809,-78.3947359,Vendor
Hempstead,658,New York,4,55361,40.7062128,-73.6187397,Vendor
Colton,690,California,10.8,53243,34.0739016,-117.3136547,Vendor
Coral Gables,752,Florida,16.1,49631,25.72149,-80.2683838,Vendor
Logan,764,Utah,14.5,48913,41.7369803,-111.8338359,Vendor
Fitchburg,913,Massachusetts,3.5,40383,42.5834228,-71.8022955,Vendor
Jefferson City,847,Missouri,6.7,43330,38.5767017,-92.1735164,Vendor
Cape Girardeau,953,Missouri,9.4,38816,37.3058839,-89.5181476,Vendor
Lincoln Park,988,Michigan,-6.7,37313,42.2505943,-83.1785361,Vendor
Woburn,949,Massachusetts,4.4,39083,42.4792618,-71.1522765,Vendor
Hagerstown,906,Maryland,10.4,40612,39.6417629,-77.7199932,Vendor
Titusville,833,Florida,7.8,44206,28.6122187,-80.8075537,Vendor
Allentown,224,Pennsylvania,11.2,118577,40.6084305,-75.4901833,Vendor
Waterbury,253,Connecticut,2.2,109676,41.5581525,-73.0514965,Vendor
Whittier,360,California,3.3,86635,33.9791793,-118.032844,Vendor
Camden,430,New Jersey,-3.6,76903,39.9259463,-75.1196199,Vendor
Erie,290,Pennsylvania,-2.8,100671,42.1292241,-80.085059,Vendor
Roanoke,298,Virginia,3.8,98465,37.2709704,-79.9414266,Vendor
St. George,431,Utah,53.1,76817,37.0965278,-113.5684164,Vendor
Edinburg,404,Texas,65.1,80836,26.3017374,-98.1633432,Vendor
Bend,398,Oregon,54.3,81236,44.0581728,-121.3153096,Vendor
Nampa,361,Idaho,57.9,86518,43.5407172,-116.5634624,Vendor
Laguna Niguel,539,California,2.8,64652,33.5225261,-117.7075526,Vendor
Apple Valley,477,California,29.9,70924,34.5008311,-117.1858759,Vendor
Montebello,549,California,2,63495,34.0165053,-118.1137535,Vendor
Frederick,514,Maryland,25.9,66893,39.4142688,-77.4105409,Vendor
Valdosta,645,Georgia,22.3,56481,30.8327022,-83.2784851,Vendor
Sanford,650,Florida,42.8,56002,28.8028612,-81.269453,Vendor
Dothan,502,Alabama,16.6,68001,31.2232313,-85.3904888,Vendor
Auburn,615,Alabama,26.4,58582,32.6098566,-85.4807825,Vendor
Hilton Head Island,938,South Carolina,16,39412,32.216316,-80.752608,Vendor
Lake Havasu City,695,Arizona,24.6,52844,34.483901,-114.3224548,Vendor
Palm Desert,732,California,13.2,50508,33.7222445,-116.3744556,Vendor
Waltham,562,Massachusetts,5,62227,42.3764852,-71.2356113,Vendor
Coeur d'Alene,801,Idaho,32.8,46402,47.6776832,-116.7804664,Vendor
St. Peters,667,Missouri,6.5,54842,38.7874699,-90.6298922,Vendor
Santee,648,California,5.7,56105,32.8383828,-116.9739167,Vendor
Homestead,542,Florida,100.7,64079,25.4687224,-80.4775569,Vendor
Eagan,529,Minnesota,2.6,65453,44.8041322,-93.1668858,Vendor
Ames,568,Iowa,21.3,61792,42.034722,-93.62,Vendor
Friendswood,980,Texas,28.6,37587,29.5293998,-95.2010447,Vendor
Wheeling,970,Illinois,4.8,38015,42.1391927,-87.9289591,Vendor
Wausau,945,Wisconsin,1.7,39309,44.9591352,-89.6301221,Vendor
Mount Pleasant,446,South Carolina,53.2,74885,32.8323225,-79.8284258,Vendor
Spokane Valley,335,Washington,12.6,91113,47.6732281,-117.2393748,Vendor
North Little Rock,524,Arkansas,9,66075,34.769536,-92.2670941,Vendor
Pleasanton,450,California,15.2,74110,37.6624312,-121.8746789,Vendor
Union City,499,New Jersey,1.7,68247,40.6975898,-74.2631635,Vendor
Merced,400,California,25.4,81102,37.3021632,-120.4829677,Vendor
Fort Myers,501,Florida,31.2,68190,26.640628,-81.8723084,Vendor
Livonia,314,Michigan,-5.4,95208,42.36837,-83.3527097,Vendor
Longview,396,Texas,11.6,81443,32.5007037,-94.7404891,Vendor
Raleigh,43,North Carolina,48.7,431746,35.7795897,-78.6381787,Vendor
El Monte,234,California,-0.4,115708,34.0686206,-118.0275667,Vendor
Milwaukee,31,Wisconsin,0.3,599164,43.0389025,-87.9064736,Vendor
Irvine,85,California,61.3,236716,33.6839473,-117.7946942,Vendor
Chandler,79,Arizona,38.7,249146,33.3061605,-111.8412502,Vendor
Surprise,216,Arizona,281.9,123546,33.6292337,-112.3679279,Vendor
Columbus,110,Georgia,8.7,202824,32.4609764,-84.9877094,Vendor
Reno,90,Nevada,26.8,233294,39.5296329,-119.8138027,Vendor
Toledo,67,Ohio,-10,282313,41.6639383,-83.555212,Vendor
Washington,23,District of Columbia,13,646449,38.9071923,-77.0368707,Vendor
Rancho Cucamonga,141,California,32.7,171386,34.1063989,-117.5931084,Vendor
Everett,269,Washington,9.4,105370,47.9789848,-122.2020794,Vendor
Glendale,121,California,0.3,196021,34.1425078,-118.255075,Vendor
Orange,182,California,7.7,139969,33.7877944,-117.8531119,Vendor
Columbia,235,Missouri,34,115276,38.9517053,-92.3340724,Vendor
Buffalo,73,New York,-11.3,258959,42.8864468,-78.8783689,Vendor
Fort Worth,17,Texas,45.1,792727,32.7554883,-97.3307658,Vendor
Abilene,221,Texas,3.6,120099,32.4487364,-99.7331439,Vendor
Greenville,347,North Carolina,41.9,89130,35.612661,-77.3663538,Vendor
Yorba Linda,511,California,13.4,67032,33.8886259,-117.8131125,Vendor
Newton,351,Massachusetts,4.9,87971,42.3370413,-71.2092214,Vendor
East Orange,540,New Jersey,-7.4,64544,40.767323,-74.2048677,Vendor
Norwalk,354,Connecticut,5.6,87776,41.117744,-73.4081575,Vendor
Auburn,447,Washington,34.9,74860,47.3073228,-122.2284532,Vendor
Carson,325,California,2.9,92599,33.8316745,-118.281693,Vendor
Racine,421,Wisconsin,-4.4,78199,42.7261309,-87.7828523,Vendor
Tamarac,553,Florida,12.9,63155,26.2128609,-80.2497707,Vendor
Carmel,366,Indiana,60.4,85927,39.978371,-86.1180435,Vendor
Greenville,573,South Carolina,8.2,61397,34.8526176,-82.3940104,Vendor
Tinley Park,630,Illinois,16.3,57282,41.5731442,-87.7932939,Vendor
Meriden,586,Connecticut,3.7,60456,41.5381535,-72.8070435,Vendor
Gardena,593,California,3.4,59957,33.8883487,-118.3089624,Vendor
North Miami,580,Florida,2,61007,25.8900949,-80.1867138,Vendor
Bellevue,685,Nebraska,20.5,53663,41.1543623,-95.9145568,Vendor
Kentwood,737,Michigan,10.5,50233,42.8694731,-85.6447492,Vendor
Wheaton,686,Illinois,-3.4,53648,41.8661403,-88.1070127,Vendor
Portage,788,Michigan,5.7,47523,42.2011538,-85.5800022,Vendor
Middletown,767,Ohio,-5.7,48630,39.5150576,-84.3982763,Vendor
Westfield,887,Massachusetts,3,41301,42.1250929,-72.749538,Vendor
Sumter,888,South Carolina,1.3,41190,33.9204354,-80.3414693,Vendor
Brookfield,971,Wisconsin,-1.9,37999,43.0605671,-88.1064787,Vendor
Streamwood,916,Illinois,10.1,40351,42.0255827,-88.1784085,Vendor
New Berlin,926,Wisconsin,3.6,39834,42.9764027,-88.1084224,Vendor
Manassas,880,Virginia,19.5,41705,38.7509488,-77.4752667,Vendor
Rockwall,895,Texas,117.2,40922,32.9312336,-96.4597089,Vendor
North Charleston,277,South Carolina,27.4,104054,32.8546197,-79.9748103,Vendor
Costa Mesa,239,California,2.4,112174,33.6411316,-117.9186689,Vendor
Vacaville,316,California,5.4,94275,38.3565773,-121.9877444,Vendor
Pembroke Pines,150,Florida,17.4,162329,26.007765,-80.2962555,Vendor
Evansville,219,Indiana,-0.8,120310,37.9715592,-87.5710898,Vendor
Louisville,28,Kentucky,10,609893,38.2526647,-85.7584557,Vendor
Arvada,241,Colorado,9.2,111707,39.8027644,-105.0874842,Vendor
Elgin,249,Illinois,16,110145,42.0354084,-88.2825668,Vendor
Plano,70,Texas,22.4,274409,33.0198431,-96.6988856,Vendor
Huntersville,733,North Carolina,92.9,50458,35.410694,-80.8428504,Vendor
St. Clair Shores,592,Michigan,-4.6,60070,42.4974085,-82.8963604,Vendor
Walnut Creek,513,California,3.5,66900,37.9100783,-122.0651819,Vendor
Santa Monica,326,California,9.6,92472,34.0194543,-118.4911912,Vendor
Alhambra,372,California,-0.7,84577,34.095287,-118.1270146,Vendor
Southfield,459,Michigan,-6.7,73006,42.4733688,-83.2218731,Vendor
Mishawaka,778,Indiana,2,47989,41.6619927,-86.1586156,Vendor
Tustin,420,California,15.6,78327,33.7458511,-117.826166,Vendor
Suffolk,367,Virginia,33.5,85728,36.7282054,-76.5835621,Vendor
Pocatello,674,Idaho,5.4,54350,42.8713032,-112.4455344,Vendor
Pacifica,960,California,0.5,38606,37.6138253,-122.4869194,Vendor
Beverly,904,Massachusetts,2,40664,42.5584283,-70.880049,Vendor
Sierra Vista,823,Arizona,19.3,45129,31.5455001,-110.2772856,Vendor
Norwich,917,Connecticut,11.6,40347,41.5242649,-72.0759105,Vendor
Biloxi,825,Mississippi,-11.5,44820,30.3960318,-88.8853078,Vendor
Urbana,878,Illinois,10.3,41752,40.1105875,-88.2072697,Vendor
Garden Grove,135,California,5.8,175140,33.7739053,-117.9414477,Vendor
Santa Maria,281,California,30.9,102216,34.9530337,-120.4357191,Vendor
Newport News,130,Virginia,0.9,182020,37.0870821,-76.4730122,Vendor
Chesapeake,91,Virginia,15.1,230571,36.7682088,-76.2874927,Vendor
Grand Prairie,127,Texas,43.1,183372,32.7459645,-96.9977846,Vendor
Glendale,87,Arizona,5.7,234632,33.5386523,-112.1859866,Vendor
Newark,69,New Jersey,2.1,278427,40.735657,-74.1723667,Vendor
Richardson,275,Texas,13.2,104475,32.9483335,-96.7298519,Vendor
Tampa,53,Florida,16,352957,27.950575,-82.4571776,Vendor
North Richland Hills,509,Texas,20.2,67317,32.8342952,-97.2289029,Vendor
Rochester Hills,460,Michigan,5.7,72952,42.6583661,-83.1499322,Vendor
Springdale,443,Arkansas,57.1,75229,36.1867442,-94.1288141,Vendor
Longmont,344,Colorado,24.4,89919,40.1672068,-105.1019275,Vendor
Portsmouth,310,Virginia,-4.2,96205,36.8354258,-76.2982742,Vendor
Lynwood,471,California,2,71371,33.930293,-118.2114603,Vendor
Renton,305,Washington,88.4,97003,47.4828776,-122.2170661,Vendor
Upland,442,California,9.5,75413,34.09751,-117.6483876,Vendor
Hammond,410,Indiana,-4.6,78967,41.5833688,-87.5000412,Vendor
Buffalo Grove,875,Illinois,-3.4,41778,42.1662831,-87.9631308,Vendor
Crystal Lake,912,Illinois,5.3,40388,42.2411344,-88.3161965,Vendor
Alexandria,775,Louisiana,4.1,48426,31.3112936,-92.4451371,Vendor
Danville,846,California,3.7,43341,37.8215929,-121.9999606,Vendor
Brentwood,924,Tennessee,51.9,40021,36.0331164,-86.7827772,Vendor
Danville,859,Virginia,-11,42907,36.5859718,-79.3950228,Vendor
Sheboygan,766,Wisconsin,-3.9,48725,43.7508284,-87.71453,Vendor
Lacey,824,Washington,41.7,44919,47.0342629,-122.8231915,Vendor
DeKalb,840,Illinois,11.8,43849,41.9294736,-88.7503647,Vendor
Midland,872,Michigan,0.9,42181,43.6155825,-84.2472116,Vendor
Watsonville,699,California,12.7,52477,36.910231,-121.7568946,Vendor
Bossier City,518,Louisiana,17.4,66333,32.5159852,-93.7321228,Vendor
Woodland,643,California,13.8,56590,38.6785157,-121.7732971,Vendor
Coconut Creek,636,Florida,28.4,56792,26.2517482,-80.1789351,Vendor
Revere,682,Massachusetts,13.4,53756,42.4084302,-71.0119948,Vendor
La Mesa,613,California,6.9,58642,32.7678287,-117.0230839,Vendor
San Marcos,679,Texas,48.5,54076,29.8832749,-97.9413941,Vendor
Blaine,587,Minnesota,32.8,60407,45.1607987,-93.2349489,Vendor
Cedar Park,575,Texas,134.3,61238,30.505198,-97.8202888,Vendor
Euless,691,Texas,15.1,53224,32.8370727,-97.0819541,Vendor
La Quinta,943,California,59.9,39331,33.6633573,-116.3100095,Vendor
Bremerton,950,Washington,4.9,39056,47.5673202,-122.6329356,Vendor
Northglenn,982,Colorado,15.5,37499,39.8961821,-104.9811468,Vendor
Stanton,958,California,2.8,38623,33.8025155,-117.9931165,Vendor
Lima,963,Ohio,-8.1,38355,40.742551,-84.1052256,Vendor
Summerville,807,South Carolina,62.9,46074,33.0185039,-80.1756481,Vendor
Wilkes-Barre,889,Pennsylvania,-4.3,41108,41.2459149,-75.8813075,Vendor
Harrisburg,759,Pennsylvania,0.6,49188,40.2731911,-76.8867008,Vendor
Charleston,725,West Virginia,-4.7,50821,38.3498195,-81.6326234,Vendor
Apex,871,North Carolina,98.8,42214,35.732652,-78.8502856,Vendor
Bradenton,711,Florida,3.4,51763,27.4989278,-82.5748194,Vendor
Beloit,999,Wisconsin,2.9,36888,42.5083482,-89.0317765,Vendor
Coppell,918,Texas,10.3,40342,32.9545687,-97.0150078,Vendor
Lakewood,722,Ohio,-9.4,51143,41.4819932,-81.7981908,Vendor
Dublin,842,Ohio,37.6,43607,40.0992294,-83.1140771,Vendor
Sacramento,35,California,17.2,479686,38.5815719,-121.4943996,Vendor
Westminster,245,Colorado,9.4,110945,39.8366528,-105.0372046,Vendor
Carlsbad,244,California,39.7,110972,33.1580933,-117.3505939,Vendor
Sandy Springs,295,Georgia,17.4,99770,33.9304352,-84.3733147,Vendor
Centennial,268,Colorado,3.5,106114,39.5807452,-104.8771726,Vendor
Oxnard,108,California,18.2,203007,34.1975048,-119.1770516,Vendor
Richmond,99,Virginia,8.2,214114,37.5407246,-77.4360481,Vendor
Hillsboro,303,Oregon,36.4,97368,45.5228939,-122.989827,Vendor
Davenport,283,Iowa,3.9,102157,41.5236437,-90.5776367,Vendor
Odessa,247,Texas,22.3,110720,31.8456816,-102.3676431,Vendor
Arlington Heights,437,Illinois,-0.6,75994,42.0883603,-87.9806265,Vendor
Reading,353,Pennsylvania,8,87893,40.3356483,-75.9268747,Vendor
Turlock,482,California,23.5,70365,37.4946568,-120.8465941,Vendor
Fort Smith,355,Arkansas,8.6,87650,35.3859242,-94.3985475,Vendor
Champaign,385,Illinois,18.3,83424,40.1164204,-88.2433829,Vendor
Jonesboro,469,Arkansas,28.3,71551,35.8422967,-90.704279,Vendor
Appleton,456,Wisconsin,4.5,73596,44.2619309,-88.4153847,Vendor
Clifton,368,New Jersey,7.9,85390,40.8584328,-74.1637553,Vendor
Hemet,395,California,37.6,81750,33.7475203,-116.9719684,Vendor
Sioux City,393,Iowa,-2.9,82459,42.4999942,-96.4003069,Vendor
Porterville,661,California,20.1,55174,36.06523,-119.0167679,Vendor
Camarillo,523,California,14.9,66086,34.2163937,-119.0376023,Vendor
